---------------------------------------------|---------|---------|---------|-------------------|
File                                         |% Branch | % Funcs | % Lines | Uncovered Line #s |
---------------------------------------------|---------|---------|---------|-------------------|
 payment_entity.dart                         |  100.00 |  100.00 |    0.00 |...1,42,43,44,45,46|
lib/features/payment/domain/repositories/    |         |         |         |                   |
 payment_repository.dart                     |    0.00 |    0.00 |    0.00 |    no unit testing|
lib/features/payment/domain/usecases/        |         |         |         |                   |
 initiate_paayment_usecase.dart              |  100.00 |  100.00 |   53.85 |  17,24,25,28,29,30|
 verify_payment_usecase.dart                 |  100.00 |  100.00 |   33.33 |  13,15,16,19,20,21|
lib/features/payment/presentation/pages/     |         |         |         |                   |
 khalti_webview_page.dart                    |  100.00 |  100.00 |    0.00 |...,151,152,153,154|
lib/features/payment/presentation/state/     |         |         |         |                   |
 payment_state.dart                          |  100.00 |  100.00 |   10.00 |...0,31,32,33,37,38|
lib/features/payment/presentation/view_model/|         |         |         |                   |
 payment_viewmodel.dart                      |  100.00 |  100.00 |    8.33 |...8,59,61,63,71,72|
lib/features/reviews/data/datasources/       |         |         |         |                   |
 review_datasource.dart                      |    0.00 |    0.00 |    0.00 |    no unit testing|
lib/features/reviews/data/datasources/local/ |         |         |         |                   |
 review_local_datasource.dart                |  100.00 |  100.00 |    0.00 |...0,73,80,83,89,92|
lib/features/reviews/data/datasources/remote/|         |         |         |                   |
 revoew_remote_datasource.dart               |  100.00 |  100.00 |    0.00 |...,135,137,139,140|
lib/features/reviews/data/models/            |         |         |         |                   |
 review_api_model.dart                       |  100.00 |  100.00 |    0.00 |...8,79,80,81,84,85|
 review_hive_model.dart                      |  100.00 |  100.00 |    0.00 |...3,84,87,88,90,92|
 review_hive_model.g.dart                    |  100.00 |  100.00 |    0.00 |...6,57,59,62,63,64|
lib/features/reviews/data/repositories/      |         |         |         |                   |
 review_repository.dart                      |  100.00 |  100.00 |    0.00 |...,147,150,152,155|
lib/features/reviews/domain/entities/        |         |         |         |                   |
 review_entity.dart                          |  100.00 |  100.00 |    8.33 |...1,32,33,34,35,36|
lib/features/reviews/domain/repositories/    |         |         |         |                   |
 review_repository.dart                      |    0.00 |    0.00 |    0.00 |    no unit testing|
lib/features/reviews/domain/usecases/        |         |         |         |                   |
 create_review_usecase.dart                  |  100.00 |  100.00 |   69.23 |        21,22,26,27|
 delete_review_usecase.dart                  |  100.00 |  100.00 |   55.56 |        13,14,18,19|
 get_my_reviews_usecase.dart                 |  100.00 |  100.00 |   66.67 |              10,11|
 get_review_by_id_usecase.dart               |  100.00 |  100.00 |   22.22 |...5,19,20,27,30,32|
 get_reviews_by_hotel_id_usecase.dart        |  100.00 |  100.00 |   20.00 |...9,20,21,30,33,37|
 update_review_usecase.dart                  |  100.00 |  100.00 |   54.17 |...4,35,36,37,42,43|
lib/features/reviews/presentation/pages/     |         |         |         |                   |
 my_review_page.dart                         |  100.00 |  100.00 |   70.13 |...,132,168,169,214|
 write_review_page.dart                      |  100.00 |  100.00 |   72.16 |...,266,267,268,270|
lib/features/reviews/presentation/state/     |         |         |         |                   |
 review_state.dart                           |  100.00 |  100.00 |   93.33 |                 29|
lib/features/reviews/presentation/view_model/|         |         |         |                   |
 review_viewmodel.dart                       |  100.00 |  100.00 |  100.00 |                   |
lib/features/reviews/presentation/widgets/   |         |         |         |                   |
 edit_review_sheet.dart                      |  100.00 |  100.00 |   81.33 |...,83,84,85,86,133|
 my_review_card.dart                         |  100.00 |  100.00 |   93.24 |     64,65,66,67,69|
 star_rating_selector.dart                   |  100.00 |  100.00 |   96.00 |                 33|
lib/features/splash/presentation/pages/      |         |         |         |                   |
 splash_screen.dart                          |    0.00 |    0.00 |    0.00 |    no unit testing|
lib/screens/                                 |         |         |         |                   |
 main_bottom_screen.dart                     |  100.00 |  100.00 |    2.04 |...,121,122,123,124|
---------------------------------------------|---------|---------|---------|-------------------|
 All files with unit testing                 |  100.00 |  100.00 |   40.29 |                   |
---------------------------------------------|---------|---------|---------|-------------------|
